Use Code,Use Common Name,Series,,Count,Notes,http://www.acgov.org/MS/prop/useCodeList.aspx
0,Unknown Use,,,,,https://data.acgov.org/Housing-and-Development/Assessor-s-Office-Use-Codes/tbsm-ih62/data
300,Exempt Public Agency,"0x -ÊSeries - Exempt, Not Assessed by County, Mobile Homes and Tracts",,,,
400,Property leased to a public utility,"0x -ÊSeries - Exempt, Not Assessed by County, Mobile Homes and Tracts",,,,
500,Property owned by a public utility,"0x -ÊSeries - Exempt, Not Assessed by County, Mobile Homes and Tracts",,,,
600,Mobile home on SFR land,"0x -ÊSeries - Exempt, Not Assessed by County, Mobile Homes and Tracts",,,,
700,Mobile home in a mobile home park,"0x -ÊSeries - Exempt, Not Assessed by County, Mobile Homes and Tracts",,,,
750,Floating home,"0x -ÊSeries - Exempt, Not Assessed by County, Mobile Homes and Tracts",,,,
800,Vacant residential tract lot,"0x -ÊSeries - Exempt, Not Assessed by County, Mobile Homes and Tracts",vacant,3187,,
840,"Tract land, R&T 402.1","0x -ÊSeries - Exempt, Not Assessed by County, Mobile Homes and Tracts",,,,
900,Partially complete residential tract home,"0x -ÊSeries - Exempt, Not Assessed by County, Mobile Homes and Tracts",,,,
940,"Tract residential PC, R&T 402.1","0x -ÊSeries - Exempt, Not Assessed by County, Mobile Homes and Tracts",,,,
1000,"Vacant residential land, zoned 4 units or less",1x - Series - Single Family Residential,vacant,5615,,
1040,"Vacant residential land, R&T 402.1",1x - Series - Single Family Residential,vacant,0,,
1100,Single family residential homes used as such,1x - Series - Single Family Residential,,,,
1101,Medical-Residential Care Facility (SFR) <7 patient,1x - Series - Single Family Residential,,,,
1120,Residential Imps on Commercial Land,1x - Series - Single Family Residential,,,,
1130,Residential Imps on Industrial Land,1x - Series - Single Family Residential,,,,
1140,"Single family residential home, R&T 402.1",1x - Series - Single Family Residential,,,,
1150,Historical residential,1x - Series - Single Family Residential,,,,
1160,Land Trust - residential improve on leased land,1x - Series - Single Family Residential,,,,
1190,Single family residential (tract) common area or use,1x - Series - Single Family Residential,,,,
1200,Single family res home with non-economic 2nd unit,1x - Series - Single Family Residential,,,,
1300,Single Family Res home with slight commericial/ind,1x - Series - Single Family Residential,,,,
1400,Single Family Res - Duet Style,1x - Series - Single Family Residential,,,,
1420,"Single Family Res - Duet Style, First Sale",1x - Series - Single Family Residential,,,,
1430,"Single Family Res - Duet Style, R&T 402.1, First Sale",1x - Series - Single Family Residential,,,,
1440,"Single Family Res - Duet Style, R&T 402.1",1x - Series - Single Family Residential,,,,
1500,Townhouse - Planned Development,1x - Series - Single Family Residential,,,,
1505,Townhouse Style - Condominium,1x - Series - Single Family Residential,,,,
1520,"Townhouse - Planned Development, First Sale",1x - Series - Single Family Residential,,,,
1525,"Townhouse Style - Condominium, First Sale",1x - Series - Single Family Residential,,,,
1530,"Townhouse - Planned Development, R&T 402.1, First Sale",1x - Series - Single Family Residential,,,,
1535,"Townhouse Style - Condominium, R&T 402.1, First Sale",1x - Series - Single Family Residential,,,,
1540,"Townhouse - Planned Development, R&T 402.1",1x - Series - Single Family Residential,,,,
1545,Townhouse Style - Condominium R&T 402.1,1x - Series - Single Family Residential,,,,
1590,"Townhouse - Planned Development, Common Area or use",1x - Series - Single Family Residential,,,,
1595,"Townhouse Style - Condominium, Common Area or use",1x - Series - Single Family Residential,,,,
1600,SFR Detached Site Condominium,1x - Series - Single Family Residential,,,,
1620,"SFR Detached Site Condominium, First Sale",1x - Series - Single Family Residential,,,,
1630,"SFR Detached Site Condominium, R&T 402.1, First Sale",1x - Series - Single Family Residential,,,,
1640,"SFR Detached Site Condominium, R&T 402.1",1x - Series - Single Family Residential,,,,
1690,"SFR Detached Site Condominium , Common Area or use",1x - Series - Single Family Residential,,,,
1700,Single family res home converted to boarding house,1x - Series - Single Family Residential,,,,
1800,SFR - Planned Development Tract with Common Area,1x - Series - Single Family Residential,,,,
1820,"SFR - Planned Development Tract, First Sale",1x - Series - Single Family Residential,,,,
1830,"SFR - Planned Development Tract, R&T 402.1, First Sale",1x - Series - Single Family Residential,,,,
1840,"SFR - Planned Development Tract, R&T 402.1",1x - Series - Single Family Residential,,,,
1850,Duet/Duplex/Triplex - Planned Development Tract w/Common Area,1x - Series - Single Family Residential,,,Not on data.acgov.org,
1860,"Duet/Duplex/Triplex - Planned Development Tract, R&T 402.1",1x - Series - Single Family Residential,,,Not on data.acgov.org,
1890,"SFR - Planned Development Tract, Common Area or use",1x - Series - Single Family Residential,,,,
1900,Single family res - manufactured,1x - Series - Single Family Residential,,,,
1901,Single family modular built off site,1x - Series - Single Family Residential,,,Not on data.acgov.org,
1950,Non-Condo Live/Work,1x - Series - Single Family Residential,,,,
2100,"Two, three or four single family homes","2x -ÊSeries - Multiple Residential, 2-4 Units and Mobile Homes",,,,
2200,Double or duplex type - two units,"2x -ÊSeries - Multiple Residential, 2-4 Units and Mobile Homes",,,,
2300,Triplex; double or duplex with single family home,"2x -ÊSeries - Multiple Residential, 2-4 Units and Mobile Homes",,,,
