GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",1286,63,31,24,12,19,0,12,7,11,39,38,51,30,0,12,0,12,9,15,41,28,41,28,154,56,112,63,87,43,113,55,589,97
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",832,43,20,14,0,12,10,11,0,12,6,8,10,11,22,16,11,11,0,12,47,22,57,24,45,22,111,40,112,47,108,45,273,54
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",2489,98,59,44,262,142,78,82,55,51,119,85,53,52,40,37,103,95,12,20,196,126,192,90,208,92,172,85,231,106,257,104,452,123
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",1801,87,74,43,51,32,57,41,42,34,39,34,96,57,13,16,14,17,29,26,75,52,118,56,282,97,242,96,137,62,335,106,197,72
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",1624,57,50,29,81,52,43,41,81,60,70,43,76,47,36,28,76,53,18,19,113,64,146,61,373,90,219,91,82,52,109,50,51,32
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",701,45,35,33,45,31,17,20,51,31,32,31,40,40,39,36,8,12,30,21,49,36,36,23,64,30,77,46,41,25,78,34,59,30
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",1793,87,89,74,193,97,115,63,160,89,120,60,87,67,141,69,94,62,129,78,68,39,96,44,134,60,116,60,90,46,93,39,68,48
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",1572,108,99,53,74,45,10,16,54,43,108,71,94,51,111,62,41,26,56,30,141,62,148,62,217,73,134,65,86,50,116,55,83,48
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",1013,75,85,54,47,34,54,36,26,23,41,41,41,37,30,34,34,34,12,13,152,79,80,52,123,60,119,60,40,35,80,49,49,34
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",2533,162,278,133,208,125,60,50,380,158,50,41,132,94,106,77,54,45,12,18,216,140,271,148,232,92,199,107,125,95,109,101,101,67
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",2028,95,145,76,92,79,71,71,71,64,78,56,69,60,76,53,135,96,67,67,217,113,277,140,230,100,266,87,42,42,139,79,53,39
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",1250,39,40,28,62,54,21,22,87,64,34,29,58,42,23,20,41,29,26,22,45,31,157,69,159,64,137,70,141,49,93,40,126,54
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",1727,99,182,88,216,72,101,53,98,62,121,58,89,46,114,59,44,39,74,54,123,63,182,68,107,59,94,37,25,22,49,41,108,62
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",1516,101,218,90,168,73,203,73,110,57,96,52,65,42,73,64,78,57,101,64,100,61,138,68,91,48,45,37,9,15,16,21,5,8
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",1002,58,113,42,128,44,78,49,35,30,32,22,8,9,28,26,32,25,76,54,101,52,51,25,104,38,97,49,24,21,40,30,55,30
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",731,66,104,56,93,48,50,27,68,46,9,14,31,26,22,20,54,28,27,23,43,39,50,35,73,36,62,47,0,12,19,24,26,16
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",1241,79,70,63,74,58,57,47,80,56,14,16,64,53,62,55,49,43,23,36,73,54,55,34,180,67,173,81,110,58,80,43,77,46
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",725,73,84,46,84,51,82,46,80,36,67,46,36,29,14,16,22,26,27,27,54,30,55,29,48,33,40,30,4,7,24,23,4,6
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",880,62,50,29,131,53,78,40,46,31,19,18,44,32,60,35,51,32,37,29,52,33,78,37,73,42,71,40,25,17,39,25,26,17
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",1189,51,130,58,135,70,140,73,113,76,80,63,51,36,111,63,55,43,6,11,28,23,88,56,98,80,35,36,79,45,7,11,33,27
