,Parks and Recreation Facilities,Facility Type,geometry
0,Lake Merritt Sail Boat House,Rental Facility,POINT (-122.2566247980454 37.80676133380701)
1,Brookdale,Tennis Court,POINT (-122.2730199996731 37.80505999961946)
2,Allendale Park,Park,POINT (-122.2029235119239 37.78991889713853)
3,Park Blvd Plaza Park,Park,POINT (-122.2476606965575 37.80063109648487)
4,Rainbow,Recreation Center,POINT (-122.2002974915983 37.76549331082276)
5,Union Point Park,Park,POINT (-122.2426024834788 37.77899051876286)
6,Jefferson Square,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
7,William Wood Park,Park,POINT (-122.2207589786496 37.79519425242172)
8,Burckhalter,Tennis Court,POINT (-122.2730199996731 37.80505999961946)
9,Willow Mini Park,Park,POINT (-122.2730199996731 37.80505999961946)
10,Nicol Park,Park,POINT (-122.2730199996731 37.80505999961946)
11,Metropolitan Golf Links,Golf Course,POINT (-122.1924112424418 37.72053817937282)
12,Malonga Casquelourd Center for the Arts,Cultural Arts,POINT (-122.2660649116011 37.80294108012282)
13,Morgan Plaza Park,Park,POINT (-122.2730199996731 37.80505999961946)
14,Concordia Park,Park,POINT (-122.1839054142294 37.77123649879155)
15,Lakeside Horticultural Center - Kitchen Garden,Community Gardens,POINT (-122.2588597277328 37.80795499033483)
16,Snow Park,Park,POINT (-122.2730199996731 37.80505999961946)
17,San Antonio Park,Community Gardens,POINT (-122.2410008066445 37.79169955475658)
18,Bertha Port Park,Park,POINT (-122.2826304233808 37.80365604113609)
19,Dover Park,Community Gardens,POINT (-122.2730199996731 37.80505999961946)
20,Elmhurst,Tennis Court,POINT (-122.165601647708 37.74664352108863)
21,Jack London Aquatic Center,Rental Facility,POINT (-122.2633899598375 37.79083521131776)
22,Carney Park,Park,POINT (-122.1782461154399 37.73251517200833)
23,City Stables,Horse Stable,POINT (-122.144292549364 37.78529754662544)
24,Joaquin Miller Community Center & Woodminister Cascades,Rental Facility,POINT (-122.1927861432349 37.81058865067126)
25,Driver [Jasper P.] Plaza,Park,POINT (-122.2745172304338 37.8408585919636)
26,Shepard Canyon,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
27,Mosswood Park,Community Gardens,POINT (-122.2616132675561 37.82519030712768)
28,Arroyo Viejo,Recreation Center,POINT (-122.1761956612131 37.76263346676961)
