,Parks and Recreation Facilities,Facility Type,Latitude,Longitude
0,Lake Merritt Sail Boat House,Rental Facility,37.80676133380701,-122.25662479804541
1,Brookdale,Tennis Court,37.80505999961946,-122.27301999967312
2,Allendale Park,Park,37.789918897138534,-122.20292351192393
3,Park Blvd Plaza Park,Park,37.80063109648487,-122.24766069655746
4,Rainbow,Recreation Center,37.76549331082276,-122.20029749159835
5,Union Point Park,Park,37.77899051876286,-122.24260248347878
6,Jefferson Square,Athletic Field,37.80505999961946,-122.27301999967312
7,William Wood Park,Park,37.795194252421716,-122.22075897864956
8,Burckhalter,Tennis Court,37.80505999961946,-122.27301999967312
9,Willow Mini Park,Park,37.80505999961946,-122.27301999967312
10,Nicol Park,Park,37.80505999961946,-122.27301999967312
11,Metropolitan Golf Links,Golf Course,37.720538179372824,-122.19241124244175
12,Malonga Casquelourd Center for the Arts,Cultural Arts,37.80294108012282,-122.26606491160106
13,Morgan Plaza Park,Park,37.80505999961946,-122.27301999967312
14,Concordia Park,Park,37.77123649879155,-122.1839054142294
15,Lakeside Horticultural Center - Kitchen Garden,Community Gardens,37.80795499033483,-122.25885972773281
16,Snow Park,Park,37.80505999961946,-122.27301999967312
17,San Antonio Park,Community Gardens,37.791699554756576,-122.24100080664448
18,Bertha Port Park,Park,37.803656041136094,-122.2826304233808
19,Dover Park,Community Gardens,37.80505999961946,-122.27301999967312
20,Elmhurst,Tennis Court,37.74664352108863,-122.165601647708
21,Jack London Aquatic Center,Rental Facility,37.790835211317756,-122.26338995983754
22,Carney Park,Park,37.732515172008334,-122.17824611543995
23,City Stables,Horse Stable,37.785297546625436,-122.14429254936397
24,Joaquin Miller Community Center & Woodminister Cascades,Rental Facility,37.810588650671264,-122.1927861432349
25,Driver [Jasper P.] Plaza,Park,37.840858591963595,-122.27451723043384
26,Shepard Canyon,Athletic Field,37.80505999961946,-122.27301999967312
27,Mosswood Park,Community Gardens,37.825190307127684,-122.26161326755607
28,Arroyo Viejo,Recreation Center,37.762633466769614,-122.17619566121311
29,Lowell,Athletic Field,37.808779549965635,-122.28277441862707
30,Bella Vista Park,Community Gardens,37.800360025898726,-122.2371337219185
31,Athol Plaza,Tennis Court,37.80505999961946,-122.27301999967312
32,Tassafaronga,Athletic Field,37.80505999961946,-122.27301999967312
33,Dover St Park,Park,37.842709100258446,-122.26776463023646
34,Franklin Plaza,Park,37.81104819559434,-122.2674302584897
35,Piedmont Plaza Park,Park,37.82726743645258,-122.25120255449562
36,Golden Gate,Recreation Center,37.80505999961946,-122.27301999967312
37,Beaconsfield Canyon    ,Park,37.80505999961946,-122.27301999967312
38,"Marshall, ""John Marshall""",Athletic Field,37.746805399053926,-122.14093324444428
39,Fitzgerald Park,Park,37.80505999961946,-122.27301999967312
40,Dunsmuir Estate Park,Park,37.73708459137595,-122.13779900356636
41,Montclair,Recreation Center,37.828526809031004,-122.21243443299211
42,Montclair,Athletic Field,37.828526809031004,-122.21243443299211
43,Oak Park,Park,37.81905693088788,-122.25804295909973
44,Fitzgerald Park,Community Gardens,37.82593674441199,-122.28226170134877
45,85th Avenue Mini Park,Park,37.75521221860567,-122.17382484384497
46,Wood Park,Park,37.795194252421716,-122.22075897864956
47,Hardy Park & Dog Park,Park,37.84202012861456,-122.25718721053968
48,Robin Perry,Athletic Field,37.808309697023326,-122.18069380151219
49,Lakeside Park,Park,37.80795499033483,-122.25885972773281
50,McCrea Park,Park,37.79220747654878,-122.18277212205689
51,Studio One Arts Center,Cultural Arts,37.83331118505225,-122.257314508256
52,Tyrone Carney Park,Park,37.732515172008334,-122.17824611543995
53,Chabot,Tennis Court,37.80505999961946,-122.27301999967312
54,Dolphin Mini Park,Park,37.75841435504435,-122.18847991273027
55,Rotary Nature Center,Nature Center,37.80540587564856,-122.25796137383674
56,Maxwell Park,Park,37.78130339209787,-122.20026151871718
57,Joaquin Miller Dog Play Area,Dog Play Area,37.810859987420464,-122.19269090980518
58,Jefferson Dog Play Area,Dog Play Area,37.800331412598446,-122.27804291489684
59,Bushrod,Tennis Court,37.84481782053176,-122.26347070769017
60,Oak Glen Park,Park,37.82030385518474,-122.25837603447687
61,Tassafaronga,Recreation Center,37.75005482329063,-122.18422478088326
62,FM Smith,Recreation Center,37.80037428039416,-122.24878982067813
63,Lazear Field,Athletic Field,37.80505999961946,-122.27301999967312
64,"William ""Bill"" Patterson Park",Park,37.73802473854441,-122.18937080159046
65,Poplar Park,Park,37.823373676628535,-122.2835117589695
66,Wade Johnson,Athletic Field,37.81628701903762,-122.2870910606461
67,DeFremery Park,Park,37.81141714212085,-122.28553500546636
68,Fruitvale Bridge Park,Park,37.76940222142491,-122.22954772595166
69,Peralta Hacienda Park,Park,37.78752670054064,-122.21682703049692
70,Franklin,Athletic Field,37.80505999961946,-122.27301999967312
71,Cypress Freeway Memorial Park,Park,37.810846120760345,-122.29174055553761
72,Dimond Park,Park,37.807082984075336,-122.21441669084938
73,Digital Arts and Culinary Academy,Cultural Arts,37.765259487095136,-122.19982085092283
74,Chinese Garden Park,Park,37.80505999961946,-122.27301999967312
75,Davies Tennis Stadium,Tennis Court,37.816413106480404,-122.23077492299605
76,Willie Keyes,Recreation Center,37.823373676628535,-122.2835117589695
77,Morcom Rose Garden,Park,37.819302320445075,-122.24605202369963
78,Golden Gate,Athletic Field,37.80505999961946,-122.27301999967312
79,deFremery,Tennis Court,37.80505999961946,-122.27301999967312
80,Sobrante,Athletic Field,37.728324331351814,-122.17741873917299
81,88th Avenue Mini Park,Park,37.7528398498705,-122.17142026123753
82,Lazear Park,Park,37.77570663822536,-122.23244965266198
83,San Antonio,Recreation Center,37.79100751139034,-122.23992575719154
84,Peralta Park,Park,37.798308912623376,-122.26441531244623
85,Mosswood,Athletic Field,37.82388635030956,-122.26190991013061
86,Tassafaronga Park,Community Gardens,37.75170670411359,-122.184847139135
87,Carter Gilmore #3 HB,Athletic Field,37.755447883755494,-122.19840891533684
88,Vantage Point Park,Park,37.78914136717913,-122.24808783645528
89,Lakeside Park Garden Center,Rental Facility,37.80795499033483,-122.25885972773281
90,Lincoln Square,Recreation Center,37.79970352081733,-122.26814234548874
91,Beaumont Park,Park,37.80505999961946,-122.27301999967312
92,Central Reservoir,Athletic Field,37.80505999961946,-122.27301999967312
93,Union Plaza,Park,37.82594913854309,-122.28233539152443
94,Clinton Square Park,Park,37.79439275994709,-122.25374163565417
95,Bushrod Park,Community Gardens,37.844689856636734,-122.26428416976223
96,McConnell,Athletic Field,37.76125655356008,-122.17386978503461
97,Estuary Channel Park,Park,37.79098860532374,-122.26432675894569
98,Elmhurst Lyons Field,Park,37.74664352108863,-122.165601647708
99,Marston Campbell Park,Community Gardens,37.809721968223755,-122.28040010474814
100,Chabot,Athletic Field,37.80505999961946,-122.27301999967312
101,San Antonio Park,Park,37.79100751139034,-122.23992575719154
102,25th Street Mini Park,Park,37.7957554971087,-122.23564084734986
103,Lake Chabot Golf Course ,Golf Course,37.74301921135521,-122.1185362826549
104,Carmen Flores,Recreation Center,37.78041404360486,-122.22450938852612
105,Manzanita,Recreation Center,37.79419966999802,-122.22765486772965
106,Hardy Dog Play Area,Dog Play Area,37.84202012861456,-122.25718721053968
107,Montclair Park,Park,37.828526809031004,-122.21243443299211
108,Lincoln Square Park,Park,37.80043463426119,-122.26800787429386
109,Grove Shafter Dog Play Area,Dog Play Area,37.80505999961946,-122.27301999967312
110,Sheffield Village,Recreation Center,37.73513219911359,-122.13506067159295
111,Marston Campbell Park,Park,37.80505999961946,-122.27301999967312
112,Central Reservoir Park,Park,37.79534173771236,-122.22255924638952
113,Manzanita Park,Park,37.79419966999802,-122.22765486772965
114,Poplar,Athletic Field,37.823373676628535,-122.2835117589695
115,Arroyo Viejo Park,Park,37.762633466769614,-122.17619566121311
116,Bella Vista Park,Park,37.800360025898726,-122.2371337219185
117,Otis Spunkmeyer Field,Athletic Field,37.80505999961946,-122.27301999967312
118,Garfield,Athletic Field,37.80505999961946,-122.27301999967312
119,Arroyo Viejo Park,Community Gardens,37.80505999961946,-122.27301999967312
120, ,,,
121,Columbian Gardens Park,Park,37.7291602543544,-122.18908606505944
122,Bushrod,Recreation Center,37.84481782053176,-122.26347070769017
123,Knowland Park,Park,37.753335947280924,-122.15032626989203
124,Colby Park,Park,37.80505999961946,-122.27301999967312
125,Ostrander Park,Park,37.84264760593298,-122.23258233556714
126,Wade Johnson Park,Park,37.80943614340091,-122.29053747164423
127,Eastshore Park,Park,37.80505999961946,-122.27301999967312
128,South Prescott Park,Park,37.80505999961946,-122.27301999967312
129,Oak Port,Athletic Field,37.75319901662205,-122.21087091125162
130,Foothill Meadows Extension,Park,37.77979197643333,-122.21763063008204
131,Foothill Meadows Extension,Park,37.7764690733486,-122.21856430531881
132,San Antonio,Tennis Court,37.790981632928265,-122.23988607688302
133,Golden Gate Park ,Park,37.80505999961946,-122.27301999967312
134,Leona Lodge,Rental Facility,37.846029739449534,-122.22677090282403
135,Rancho Peralta Park,Park,37.79746719756953,-122.26230891670201
136,FM Smith Park,Park,37.80037428039416,-122.24878982067813
137,Lions Pool,Pools,37.807082984075336,-122.21441669084938
138,"Arroyo Viejo, Lucky A's",Tennis Court,37.76125655356008,-122.17386978503461
139,Grove Shafter Park,Park,37.80505999961946,-122.27301999967312
140,"Brookfield   
",Tennis Court,37.73661414721092,-122.18847843091812
141,Discovery Center East,Discovery Center,37.78155520226608,-122.205135844116
142,Avenue Terrance Park,Park,37.80032470133863,-122.19194545231409
143,"Raimondi, ""Ernie Raimondi""",Athletic Field,37.80505999961946,-122.27301999967312
144,deFremery Pool,Pools,37.81309442583358,-122.28766662674485
145,McClymonds Mini Park,Park,37.81764562934065,-122.28076929664121
146,Dimond,Recreation Center,37.807082984075336,-122.21441669084938
147,Mandana Plaza Park,Park,37.80505999961946,-122.27301999967312
148,Peralta Oaks Park,Park,37.80505999961946,-122.27301999967312
149,Bushrod Park,Park,37.84481782053176,-122.26347070769017
150,Mosswood Dog Play Area,Dog Play Area,37.82388635030956,-122.26190991013061
151,Cresent Park,Park,37.80505999961946,-122.27301999967312
152,Franklin,Recreation Center,37.79269463350681,-122.24861559848168
153,Carter Gilmore,Athletic Field,37.76201573422819,-122.19328855344361
154,deFremery,Athletic Field,37.80505999961946,-122.27301999967312
155,Wood Street Pocket Park,Park,37.79811632607474,-122.25837284075023
156,Rainbow Park,Park,37.76549331082276,-122.20029749159835
157,King Estates,Park,37.76462581458471,-122.15256817383897
158,Garber [John] Park,Park,37.80505999961946,-122.27301999967312
159,Lafayette Square Park,Park,37.80392583261953,-122.27693305696152
160,Dimond,Tennis Court,37.80505999961946,-122.27301999967312
161,Glen Echo Park,Park,37.80505999961946,-122.27301999967312
162,Franklin Park,Park,37.79269463350681,-122.24861559848168
163,Allendale,Recreation Center,37.789918897138534,-122.20292351192393
164,Marj Saunders Park ,Park,37.821008850028555,-122.19876530869094
165,Madison Square Park,Park,37.79791775934754,-122.2676948794654
166,Coliseum Gardens Park,Park,37.757671831889056,-122.19949429063371
167,"Jones ""Pinto"" Field",Athletic Field,37.79609723947982,-122.17513446121853
168,Allendale Park,Community Gardens,37.789918897138534,-122.20292351192393
169,Pinto Park,Park,37.79609723947982,-122.17513446121853
170,Arroyo Viejo Recreation Center,ADA Inclusion Center,37.762633466769614,-122.17619566121311
171,Stone Hurst,Athletic Field,37.73751689383553,-122.17356959719105
172,Sequoia Lodge,Rental Facility,37.81439844277611,-122.20107090854356
173,Holly Mini Park,Park,37.74462107533759,-122.16907842463516
174,Durant Mini Park,Park,37.80505999961946,-122.27301999967312
175,Jack London Aquatic Center,Boating Center,37.790835211317756,-122.26338995983754
176,Raimondi Park ,Park,37.81599576697341,-122.29554293834275
177,Temescal,Community Gardens,37.835775327412534,-122.27190151157123
178,Caldecott Field/North Oakland Regional Sports Center,Park,37.850484201010566,-122.22239492823022
179,Redwood Heights Park,Park,37.79796608109796,-122.1854229963365
180,Carter Gilmore #2 SB,Athletic Field,37.75394246701459,-122.20801895775759
181,Lake Merritt Boating Center,Boating Center,37.80676133380701,-122.25662479804541
182,Sequoia Lodge Park,Park,37.81439844277611,-122.20107090854356
183,East Oakland Sports Center,Recreation Center,37.73806024377812,-122.18950394621689
184,East Oakland Sports Center,Pools,37.73806024377812,-122.18950394621689
185,Montclair,Tennis Court,37.828526809031004,-122.21243443299211
186,Henery J. Kaiser Memorial Park (Remember Them: Champions For Humanity Monument),Park,37.80505999961946,-122.27301999967312
187,Live Oak Pool,Pools,37.80505448689166,-122.23588366429777
188,Sobrante Park,Park,37.728324331351814,-122.17741873917299
189,Chabot Park,Park,37.85070089659142,-122.24128839206891
190,Dunsmuir Hellman Historic Estate,Rental Facility,37.743835288569976,-122.14465461547375
191,Tomas Melero-Smith,Park,37.80505999961946,-122.27301999967312
192,Stonehurst Park,Park,37.73751689383553,-122.17356959719105
193,Josie de la Cruz Park,Park,37.78041404360486,-122.22450938852612
194,Garfield Park,Park,37.78571932591725,-122.2352867776567
195,Rockridge Park,Park,37.84517160169325,-122.24405267919116
196,Mosswood,Tennis Court,37.82388635030956,-122.26190991013061
197,Bishop Floyd L. Begin Plaza,Park,37.81255105155954,-122.27403863769715
198,Redwood Heights,Recreation Center,37.79796608109796,-122.1854229963365
199,Concordia,Tennis Court,37.80505999961946,-122.27301999967312
200,Officer Willie Wilkins,Park,37.743196205039595,-122.17533880100486
201,Jefferson Square,Park,37.800331412598446,-122.27804291489684
202,Curt Flood,Athletic Field,37.80505999961946,-122.27301999967312
203,Sheffield Village Park,Park,37.73513219911359,-122.13506067159295
204,Splash Pad Park,Park,37.80505999961946,-122.27301999967312
205,Gateway Gardens Park & Pavillion,Park,37.80505999961946,-122.27301999967312
206,Linden Park,Park,37.83276870061304,-122.27576472623106
207,Carter-Gilmore/Greenman Field,Park,37.80505999961946,-122.27301999967312
208,Temescal Pool,Pools,37.833295153828544,-122.25756483262023
209,Temescal Creek Park,Park,37.80505999961946,-122.27301999967312
210,Saint Andrews Plaza,Park,37.80505999961946,-122.27301999967312
211,Willow Mini Park,Park,37.812437920752245,-122.29665984703786
212,Shepherd Canyon Park,Park,37.824715379521706,-122.20238365712544
213,Kennedy Tract Park,Park,37.80505999961946,-122.27301999967312
214,Golden Gate ,Community Gardens,37.80505999961946,-122.27301999967312
215,Verdese Carter Park,Community Gardens,37.749773161750625,-122.16301160026359
216,Carter Gilmore #1 SB,Athletic Field,37.75394246701459,-122.20801895775759
217,Mosswood Park,Park,37.82388635030956,-122.26190991013061
218,Rockridge-Temescal Greenbelt (FROG Park),Park,37.80505999961946,-122.27301999967312
219,Joaquin Miller Park,Park,37.810859987420464,-122.19269090980518
220,San Antonio,Athletic Field,37.790981632928265,-122.23988607688302
221,deFremery,Recreation Center,37.81141714212085,-122.28553500546636
222,Pine Knoll Park,Park,37.80505999961946,-122.27301999967312
223,Burckhalter Park,Park,37.78179169684871,-122.20494279765407
224,Helen McGregor Plaza Park,Park,37.80505999961946,-122.27301999967312
225,Ayala Park,Park,37.84263715449612,-122.25925704383928
226,Tassafaronga Park,Park,37.80505999961946,-122.27301999967312
227,Fremont Pool,Pools,37.773983140548886,-122.2101649285588
228,Redondo Park,Park,37.83786175452053,-122.26107367433849
229,Ira Jenkins,Recreation Center,37.73802473854441,-122.18937080159046
230,Morcom Rose Garden,Rental Facility,37.819302320445075,-122.24605202369963
